sample_id,site_id,depth_valid_ratio_before,depth_valid_ratio_after,mask_area_px_before,mask_area_px_after,notes
ABEC_CM__0,ABEC_CM,0.9869705272511848,1.0,156499,156499,
ABEC_CM__1,ABEC_CM,0.9966195201421801,1.0,174891,174891,
ABEC_CM__10,ABEC_CM,0.8994594194312796,1.0,186238,186238,
ABEC_CM__11,ABEC_CM,0.9634515699052133,1.0,196218,196218,
ABEC_CM__12,ABEC_CM,0.9534767476303317,1.0,185765,185765,
ABEC_CM__13,ABEC_CM,0.9745334715639811,1.0,199194,199194,
ABEC_CM__14,ABEC_CM,0.9734819312796209,1.0,193284,193284,
ABEC_CM__15,ABEC_CM,0.9751110781990522,1.0,180126,180126,
ABEC_CM__16,ABEC_CM,0.980050355450237,1.0,176632,176632,
ABEC_CM__17,ABEC_CM,0.929583827014218,1.0,177909,177909,
ABEC_CM__18,ABEC_CM,0.9612633293838863,1.0,203684,203684,
ABEC_CM__19,ABEC_CM,0.9592454087677725,1.0,199531,199531,
ABEC_CM__2,ABEC_CM,0.9997371149289099,1.0,192179,192179,
ABEC_CM__20,ABEC_CM,0.9659804502369668,1.0,203684,203684,
ABEC_CM__21,ABEC_CM,0.9708308649289099,1.0,211485,211485,
ABEC_CM__22,ABEC_CM,0.9598600414691943,1.0,212312,212312,
ABEC_CM__23,ABEC_CM,0.9457605154028436,1.0,210344,210344,
ABEC_CM__24,ABEC_CM,0.9375111078199052,1.0,217120,217120,
ABEC_CM__25,ABEC_CM,0.9588788507109005,1.0,204456,204456,
ABEC_CM__26,ABEC_CM,0.9485707938388626,1.0,196159,196159,
ABEC_CM__27,ABEC_CM,0.9577902843601895,1.0,185074,185074,
ABEC_CM__28,ABEC_CM,0.9831642476303317,1.0,178907,178907,
ABEC_CM__29,ABEC_CM,0.9575459123222749,1.0,190734,190734,
ABEC_CM__3,ABEC_CM,0.9731968305687204,1.0,210982,210982,
ABEC_CM__30,ABEC_CM,0.9670875296208531,1.0,195236,195236,
ABEC_CM__31,ABEC_CM,0.9544468305687204,1.0,175699,175699,
ABEC_CM__32,ABEC_CM,0.958701125592417,1.0,177529,177529,
ABEC_CM__33,ABEC_CM,0.9751221860189574,1.0,181063,181063,
ABEC_CM__34,ABEC_CM,0.9470008886255924,1.0,175424,175424,
ABEC_CM__35,ABEC_CM,0.914266143364929,1.0,176902,176902,
ABEC_CM__36,ABEC_CM,0.9469009182464455,1.0,196296,196296,
ABEC_CM__37,ABEC_CM,0.9404028436018957,1.0,193972,193972,
ABEC_CM__38,ABEC_CM,0.9564869668246445,1.0,191901,191901,
ABEC_CM__39,ABEC_CM,0.9188314573459716,1.0,162040,162040,
ABEC_CM__4,ABEC_CM,0.968276066350711,1.0,206780,206780,
ABEC_CM__40,ABEC_CM,0.9269734893364929,1.0,228901,228901,
ABEC_CM__41,ABEC_CM,0.9004961492890995,1.0,234205,234205,
ABEC_CM__42,ABEC_CM,0.942916913507109,1.0,214634,214634,
ABEC_CM__43,ABEC_CM,0.9417765106635071,1.0,209798,209798,
