site_id,num_samples,mean_object_area_px,median_object_area_px,p90_object_area_px,mean_depth_valid_ratio
ABEC_CM,100,184749.42,183906.0,209852.6,0.9643250888625593
ABEC_MM,100,181908.64,179256.5,208878.50000000003,0.9917568868483412
ABEC_RM,100,164806.58,167493.5,188139.80000000002,0.9938837751777251
BT_BM,100,156834.76,152960.5,189638.0,0.9982155287322275
BT_LM,100,154793.49,155969.0,178251.7,0.9940349155805687
FL_BM,100,154069.18,152048.5,182490.8,0.9923765550947867
FL_LM,100,163637.2,160033.0,202962.2,0.9908072793246443
HB_G,100,166734.3,161085.5,191112.6,0.9928450088862558
HB_LM,100,179417.96,177911.5,213611.1,0.9985450977488152
HB_MM,100,169833.91,173503.0,195649.4,0.9928155731635071
HDCL_HW_A,100,204600.1,200805.0,237971.0,0.9977632183056871
HDCL_HW_B,100,174997.7,172057.5,207990.7,0.99816680242891
HDCL_RM_A,100,161781.91,162231.0,178461.9,0.9984283545616114
HDCL_RM_B,100,155685.79,155193.5,173805.2,0.9899788951421802
HL_BM,100,170220.02,170796.0,204862.2,0.9966843157582939
HL_LM,100,168741.52,169274.0,207355.6,0.9946546949052134
MEB_CM,100,165679.3,168196.5,186408.80000000002,0.9883282360781991
MEB_HW_A,100,147289.88,141995.0,172589.70000000004,0.9962236374407583
MEB_HW_B,100,177003.8,178944.5,209506.80000000002,0.9852156398104266
MEB_HW_C,100,171582.27,179193.0,198623.6,0.9821823904028435
