condition,severity,model,miou,dice,delta_from_clean,notes
depth_holes,1,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
depth_holes,2,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
depth_holes,3,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
depth_missing,1,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
depth_noise,1,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
depth_noise,2,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
depth_noise,3,baseline_a_rgb,0.7993640814586158,0.8742631494393114,0.0,
rgb_blur,1,baseline_a_rgb,0.7835377172030594,0.8624511901849307,-0.01582636425555639,
rgb_blur,2,baseline_a_rgb,0.7737728853941691,0.855688750117747,-0.02559119606444671,
rgb_blur,3,baseline_a_rgb,0.7562738868269916,0.844645283236393,-0.043090194631624223,
rgb_lowlight,1,baseline_a_rgb,0.6380582223378235,0.7234489231229262,-0.16130585912079232,
rgb_lowlight,2,baseline_a_rgb,0.5447437074013208,0.63276292745996,-0.254620374057295,
rgb_lowlight,3,baseline_a_rgb,0.4650358576566042,0.5514013394526495,-0.3343282238020116,
depth_holes,1,baseline_b_rgbd,0.8397671748463676,0.9055273225678097,-0.016134247782783828,
depth_holes,2,baseline_b_rgbd,0.8334115786670628,0.9024067262715948,-0.02248984396208864,
depth_holes,3,baseline_b_rgbd,0.8282832926715051,0.9004200861447275,-0.027618129957646342,
depth_missing,1,baseline_b_rgbd,0.7947940528911701,0.881807407901637,-0.061107369737981365,
depth_noise,1,baseline_b_rgbd,0.8585439953378446,0.9176653352975689,0.0026425727086931694,
depth_noise,2,baseline_b_rgbd,0.8612723102715646,0.9201203619677546,0.0053708876424131136,
depth_noise,3,baseline_b_rgbd,0.8503049984202625,0.9127145591025364,-0.00559642420888895,
rgb_blur,1,baseline_b_rgbd,0.8574586101646224,0.9164146411384413,0.0015571875354709608,
rgb_blur,2,baseline_b_rgbd,0.8583791972156853,0.9171376079259681,0.002477774586533865,
rgb_blur,3,baseline_b_rgbd,0.8586430892874739,0.9174615814399789,0.002741666658322428,
rgb_lowlight,1,baseline_b_rgbd,0.7711651498049715,0.8415045677191673,-0.08473627282417995,
rgb_lowlight,2,baseline_b_rgbd,0.7364230338477732,0.804517377351276,-0.11947838878137829,
rgb_lowlight,3,baseline_b_rgbd,0.7153620516145192,0.7828224177134508,-0.14053937101463232,
depth_holes,1,proposed_vit_fusion,0.9102106629907426,0.9516449572287642,-6.468075813492735e-05,
depth_holes,2,proposed_vit_fusion,0.9101339009918085,0.95159595393893,-0.00014144275706906573,
depth_holes,3,proposed_vit_fusion,0.9100478114893072,0.9515445725413095,-0.00022753225957028445,
depth_missing,1,proposed_vit_fusion,0.9102433086135875,0.9516355842058988,-3.203513529004276e-05,
depth_noise,1,proposed_vit_fusion,0.9102641263775028,0.9516803494874468,-1.1217371374772078e-05,
depth_noise,2,proposed_vit_fusion,0.9102418595247188,0.951666034858703,-3.3484224158719655e-05,
depth_noise,3,proposed_vit_fusion,0.9101137604950528,0.9515862607971007,-0.0001615832538247597,
rgb_blur,1,proposed_vit_fusion,0.9100964494537269,0.9515864251118463,-0.00017889429515061117,
rgb_blur,2,proposed_vit_fusion,0.9099976860227748,0.951545719702563,-0.0002776577261027757,
rgb_blur,3,proposed_vit_fusion,0.9099944396367182,0.9515739299317738,-0.0002809041121593081,
rgb_lowlight,1,proposed_vit_fusion,0.891851087941911,0.9398906248567687,-0.018424255806966494,
rgb_lowlight,2,proposed_vit_fusion,0.8828477934189256,0.9339575508172474,-0.027427550329951922,
rgb_lowlight,3,proposed_vit_fusion,0.875263908024586,0.9290400241716016,-0.03501143572429155,
